HomeTeam,AwayTeam,Div,season,Date,FTR,FTHG,FTAG,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
Aachen,Union Berlin,D2,2010,20/08/10,D,2,2,1,1,D,,,,,,,,,,,,
Frankfurt FSV,Bielefeld,D2,2010,20/08/10,H,2,1,2,0,H,,,,,,,,,,,,
Hertha,Oberhausen,D2,2010,20/08/10,H,3,2,1,1,D,,,,,,,,,,,,
Ingolstadt,Augsburg,D2,2010,21/08/10,A,1,4,1,2,A,,,,,,,,,,,,
Paderborn,Erzgebirge Aue,D2,2010,21/08/10,A,0,1,0,0,D,,,,,,,,,,,,
Cottbus,Fortuna Dusseldorf,D2,2010,22/08/10,H,2,0,0,0,D,,,,,,,,,,,,
Greuther Furth,Karlsruhe,D2,2010,22/08/10,H,4,1,2,0,H,,,,,,,,,,,,
Osnabruck,Duisburg,D2,2010,22/08/10,A,1,3,1,1,D,,,,,,,,,,,,
Bochum,Munich 1860,D2,2010,23/08/10,H,3,2,2,1,H,,,,,,,,,,,,
Augsburg,Paderborn,D2,2010,27/08/10,H,1,0,0,0,D,,,,,,,,,,,,
Erzgebirge Aue,Bochum,D2,2010,27/08/10,H,1,0,1,0,H,,,,,,,,,,,,
Oberhausen,Frankfurt FSV,D2,2010,27/08/10,H,1,0,0,0,D,,,,,,,,,,,,
Duisburg,Ingolstadt,D2,2010,28/08/10,H,4,1,3,1,H,,,,,,,,,,,,
Union Berlin,Greuther Furth,D2,2010,28/08/10,A,1,2,0,0,D,,,,,,,,,,,,
Bielefeld,Cottbus,D2,2010,29/08/10,A,1,2,0,2,A,,,,,,,,,,,,
Karlsruhe,Aachen,D2,2010,29/08/10,H,3,0,3,0,H,,,,,,,,,,,,
Munich 1860,Osnabruck,D2,2010,29/08/10,H,3,1,2,1,H,,,,,,,,,,,,
Fortuna Dusseldorf,Hertha,D2,2010,30/08/10,A,1,2,0,2,A,,,,,,,,,,,,
Ingolstadt,Oberhausen,D2,2010,10/09/10,A,1,2,0,0,D,,,,,,,,,,,,
Osnabruck,Erzgebirge Aue,D2,2010,10/09/10,H,3,2,0,0,D,,,,,,,,,,,,
Paderborn,Union Berlin,D2,2010,10/09/10,H,2,0,0,0,D,,,,,,,,,,,,
Duisburg,Munich 1860,D2,2010,11/09/10,H,2,1,0,1,A,,,,,,,,,,,,
Frankfurt FSV,Fortuna Dusseldorf,D2,2010,11/09/10,H,1,0,1,0,H,,,,,,,,,,,,
Bochum,Augsburg,D2,2010,12/09/10,A,0,2,0,2,A,,,,,,,,,,,,
Greuther Furth,Aachen,D2,2010,12/09/10,D,1,1,1,0,H,,,,,,,,,,,,
Hertha,Bielefeld,D2,2010,12/09/10,H,3,1,2,0,H,,,,,,,,,,,,
Cottbus,Karlsruhe,D2,2010,13/09/10,D,5,5,2,4,A,,,,,,,,,,,,
Aachen,Cottbus,D2,2010,17/09/10,A,2,3,1,1,D,,,,,,,,,,,,
Greuther Furth,Frankfurt FSV,D2,2010,17/09/10,H,1,0,1,0,H,,,,,,,,,,,,
Union Berlin,Hertha,D2,2010,17/09/10,D,1,1,0,1,A,,,,,,,,,,,,
Karlsruhe,Paderborn,D2,2010,18/09/10,H,2,1,1,1,D,,,,,,,,,,,,
Oberhausen,Bochum,D2,2010,18/09/10,H,3,1,1,1,D,,,,,,,,,,,,
Augsburg,Osnabruck,D2,2010,19/09/10,D,2,2,1,0,H,,,,,,,,,,,,
Bielefeld,Ingolstadt,D2,2010,19/09/10,H,1,0,0,0,D,,,,,,,,,,,,
Erzgebirge Aue,Duisburg,D2,2010,19/09/10,H,1,0,0,0,D,,,,,,,,,,,,
Fortuna Dusseldorf,Munich 1860,D2,2010,19/09/10,A,1,2,1,0,H,,,,,,,,,,,,
Cottbus,Greuther Furth,D2,2010,21/09/10,H,2,0,1,0,H,,,,,,,,,,,,
Frankfurt FSV,Aachen,D2,2010,21/09/10,A,1,3,0,0,D,,,,,,,,,,,,
Hertha,Karlsruhe,D2,2010,21/09/10,H,4,0,2,0,H,,,,,,,,,,,,
Paderborn,Oberhausen,D2,2010,21/09/10,D,0,0,0,0,D,,,,,,,,,,,,
Bochum,Bielefeld,D2,2010,22/09/10,H,3,1,2,1,H,,,,,,,,,,,,
Duisburg,Augsburg,D2,2010,22/09/10,H,1,0,0,0,D,,,,,,,,,,,,
Ingolstadt,Fortuna Dusseldorf,D2,2010,22/09/10,H,3,0,1,0,H,,,,,,,,,,,,
Munich 1860,Erzgebirge Aue,D2,2010,22/09/10,D,0,0,0,0,D,,,,,,,,,,,,
Osnabruck,Union Berlin,D2,2010,22/09/10,H,4,1,2,1,H,,,,,,,,,,,,
Aachen,Paderborn,D2,2010,24/09/10,H,2,0,0,0,D,,,,,,,,,,,,
Cottbus,Hertha,D2,2010,24/09/10,A,0,1,0,0,D,,,,,,,,,,,,
Karlsruhe,Frankfurt FSV,D2,2010,24/09/10,A,0,2,0,0,D,,,,,,,,,,,,
Bielefeld,Erzgebirge Aue,D2,2010,25/09/10,A,0,1,0,0,D,,,,,,,,,,,,
Greuther Furth,Ingolstadt,D2,2010,25/09/10,H,1,0,0,0,D,,,,,,,,,,,,
Augsburg,Munich 1860,D2,2010,26/09/10,A,1,2,0,1,A,,,,,,,,,,,,
Oberhausen,Osnabruck,D2,2010,26/09/10,H,1,0,0,0,D,,,,,,,,,,,,
Union Berlin,Duisburg,D2,2010,26/09/10,H,2,0,0,0,D,,,,,,,,,,,,
Fortuna Dusseldorf,Bochum,D2,2010,27/09/10,A,0,1,0,1,A,,,,,,,,,,,,
Duisburg,Oberhausen,D2,2010,01/10/10,H,3,0,1,0,H,,,,,,,,,,,,
Ingolstadt,Karlsruhe,D2,2010,01/10/10,D,1,1,0,0,D,,,,,,,,,,,,
