Date,Team_Home,Team_Away,Matchday_Home,Matchday_Away,Season
2026-08-28,FC Bayern München,VfB Stuttgart,1,1,2026
2026-08-29,RB Leipzig,Borussia Mönchengladbach,1,1,2026
2026-08-29,1. FSV Mainz 05,SC Paderborn 07,1,1,2026
2026-08-29,1. FC Union Berlin,Eintracht Frankfurt,1,1,2026
2026-08-29,1. FC Köln,TSG Hoffenheim,1,1,2026
2026-08-29,SV 07 Elversberg,Bayer 04 Leverkusen,1,1,2026
2026-08-29,Borussia Dortmund,Hamburger SV,1,1,2026
2026-08-30,FC Augsburg,FC Schalke 04,1,1,2026
2026-08-30,SC Freiburg,SV Werder Bremen,1,1,2026
2026-09-04,VfB Stuttgart,1. FC Köln,2,2,2026
2026-09-05,FC Schalke 04,FC Bayern München,2,2,2026
2026-09-05,SC Paderborn 07,SC Freiburg,2,2,2026
2026-09-05,SV Werder Bremen,RB Leipzig,2,2,2026
2026-09-05,TSG Hoffenheim,Borussia Dortmund,2,2,2026
2026-09-05,Bayer 04 Leverkusen,1. FC Union Berlin,2,2,2026
2026-09-05,Borussia Mönchengladbach,SV 07 Elversberg,2,2,2026
2026-09-06,Hamburger SV,1. FSV Mainz 05,2,2,2026
2026-09-06,Eintracht Frankfurt,FC Augsburg,2,2,2026
2026-09-11,1. FC Union Berlin,FC Schalke 04,3,3,2026
2026-09-12,1. FSV Mainz 05,Eintracht Frankfurt,3,3,2026
2026-09-12,1. FC Köln,SV Werder Bremen,3,3,2026
2026-09-12,FC Augsburg,Bayer 04 Leverkusen,3,3,2026
2026-09-12,Borussia Dortmund,SC Paderborn 07,3,3,2026
2026-09-12,TSG Hoffenheim,VfB Stuttgart,3,3,2026
2026-09-12,SC Freiburg,Borussia Mönchengladbach,3,3,2026
2026-09-13,RB Leipzig,Hamburger SV,3,3,2026
2026-09-13,SV 07 Elversberg,FC Bayern München,3,3,2026
2026-09-18,FC Bayern München,1. FC Union Berlin,4,4,2026
2026-09-19,SV Werder Bremen,FC Augsburg,4,4,2026
2026-09-19,Borussia Mönchengladbach,1. FSV Mainz 05,4,4,2026
2026-09-19,Hamburger SV,1. FC Köln,4,4,2026
2026-09-19,VfB Stuttgart,Borussia Dortmund,4,4,2026
2026-09-19,Eintracht Frankfurt,SC Freiburg,4,4,2026
2026-09-20,Bayer 04 Leverkusen,RB Leipzig,4,4,2026
2026-09-20,FC Schalke 04,SV 07 Elversberg,4,4,2026
2026-09-20,SC Paderborn 07,TSG Hoffenheim,4,4,2026
2026-10-10,1. FSV Mainz 05,Bayer 04 Leverkusen,5,5,2026
2026-10-10,SC Paderborn 07,VfB Stuttgart,5,5,2026
2026-10-10,1. FC Köln,Borussia Mönchengladbach,5,5,2026
2026-10-10,FC Augsburg,FC Bayern München,5,5,2026
2026-10-10,Borussia Dortmund,SV Werder Bremen,5,5,2026
2026-10-10,TSG Hoffenheim,Hamburger SV,5,5,2026
2026-10-10,1. FC Union Berlin,SV 07 Elversberg,5,5,2026
2026-10-10,SC Freiburg,FC Schalke 04,5,5,2026
2026-10-10,RB Leipzig,Eintracht Frankfurt,5,5,2026
2026-10-17,Borussia Mönchengladbach,TSG Hoffenheim,6,6,2026
2026-10-17,FC Bayern München,RB Leipzig,6,6,2026
2026-10-17,Bayer 04 Leverkusen,SC Freiburg,6,6,2026
2026-10-17,Eintracht Frankfurt,1. FC Köln,6,6,2026
2026-10-17,Hamburger SV,VfB Stuttgart,6,6,2026
2026-10-17,SV Werder Bremen,SC Paderborn 07,6,6,2026
2026-10-17,FC Schalke 04,1. FSV Mainz 05,6,6,2026
2026-10-17,SV 07 Elversberg,FC Augsburg,6,6,2026
2026-10-17,1. FC Union Berlin,Borussia Dortmund,6,6,2026
2026-10-24,FC Augsburg,1. FC Union Berlin,7,7,2026
2026-10-24,1. FC Köln,FC Schalke 04,7,7,2026
2026-10-24,1. FSV Mainz 05,SV Werder Bremen,7,7,2026
2026-10-24,SC Paderborn 07,Hamburger SV,7,7,2026
2026-10-24,SC Freiburg,FC Bayern München,7,7,2026
2026-10-24,VfB Stuttgart,Borussia Mönchengladbach,7,7,2026
2026-10-24,RB Leipzig,SV 07 Elversberg,7,7,2026
2026-10-24,Borussia Dortmund,Eintracht Frankfurt,7,7,2026
2026-10-24,TSG Hoffenheim,Bayer 04 Leverkusen,7,7,2026
2026-10-31,SV 07 Elversberg,1. FSV Mainz 05,8,8,2026
2026-10-31,FC Schalke 04,RB Leipzig,8,8,2026
2026-10-31,SV Werder Bremen,TSG Hoffenheim,8,8,2026
2026-10-31,Borussia Mönchengladbach,SC Paderborn 07,8,8,2026
2026-10-31,1. FC Union Berlin,1. FC Köln,8,8,2026
2026-10-31,Eintracht Frankfurt,Hamburger SV,8,8,2026
2026-10-31,Bayer 04 Leverkusen,VfB Stuttgart,8,8,2026
2026-10-31,FC Bayern München,Borussia Dortmund,8,8,2026
2026-10-31,FC Augsburg,SC Freiburg,8,8,2026
2026-11-07,Hamburger SV,Borussia Mönchengladbach,9,9,2026
2026-11-07,SC Paderborn 07,Eintracht Frankfurt,9,9,2026
2026-11-07,1. FC Köln,Bayer 04 Leverkusen,9,9,2026
2026-11-07,1. FSV Mainz 05,FC Bayern München,9,9,2026
2026-11-07,RB Leipzig,FC Augsburg,9,9,2026
2026-11-07,TSG Hoffenheim,FC Schalke 04,9,9,2026
2026-11-07,Borussia Dortmund,SV 07 Elversberg,9,9,2026
2026-11-07,SC Freiburg,1. FC Union Berlin,9,9,2026
2026-11-07,VfB Stuttgart,SV Werder Bremen,9,9,2026
2026-11-21,FC Bayern München,1. FC Köln,10,10,2026
2026-11-21,Bayer 04 Leverkusen,SC Paderborn 07,10,10,2026
2026-11-21,Eintracht Frankfurt,TSG Hoffenheim,10,10,2026
2026-11-21,FC Augsburg,1. FSV Mainz 05,10,10,2026
2026-11-21,1. FC Union Berlin,RB Leipzig,10,10,2026
2026-11-21,Borussia Mönchengladbach,Borussia Dortmund,10,10,2026
2026-11-21,SV Werder Bremen,Hamburger SV,10,10,2026
2026-11-21,FC Schalke 04,VfB Stuttgart,10,10,2026
2026-11-21,SV 07 Elversberg,SC Freiburg,10,10,2026
2026-11-28,SC Paderborn 07,FC Schalke 04,11,11,2026
2026-11-28,SV Werder Bremen,Borussia Mönchengladbach,11,11,2026
2026-11-28,Hamburger SV,FC Bayern München,11,11,2026
2026-11-28,1. FSV Mainz 05,1. FC Union Berlin,11,11,2026
2026-11-28,SC Freiburg,RB Leipzig,11,11,2026
2026-11-28,Borussia Dortmund,Bayer 04 Leverkusen,11,11,2026
2026-11-28,1. FC Köln,SV 07 Elversberg,11,11,2026
2026-11-28,VfB Stuttgart,Eintracht Frankfurt,11,11,2026
2026-11-28,TSG Hoffenheim,FC Augsburg,11,11,2026
2026-12-05,FC Schalke 04,Borussia Dortmund,12,12,2026
2026-12-05,1. FC Union Berlin,Hamburger SV,12,12,2026
2026-12-05,FC Augsburg,1. FC Köln,12,12,2026
2026-12-05,Eintracht Frankfurt,SV Werder Bremen,12,12,2026
2026-12-05,Bayer 04 Leverkusen,Borussia Mönchengladbach,12,12,2026
2026-12-05,RB Leipzig,1. FSV Mainz 05,12,12,2026
2026-12-05,FC Bayern München,SC Paderborn 07,12,12,2026
2026-12-05,SV 07 Elversberg,VfB Stuttgart,12,12,2026
2026-12-05,SC Freiburg,TSG Hoffenheim,12,12,2026
2026-12-12,SC Paderborn 07,SV 07 Elversberg,13,13,2026
2026-12-12,SV Werder Bremen,Bayer 04 Leverkusen,13,13,2026
2026-12-12,1. FC Köln,RB Leipzig,13,13,2026
2026-12-12,Hamburger SV,FC Schalke 04,13,13,2026
2026-12-12,Borussia Mönchengladbach,Eintracht Frankfurt,13,13,2026
2026-12-12,TSG Hoffenheim,FC Bayern München,13,13,2026
2026-12-12,Borussia Dortmund,FC Augsburg,13,13,2026
2026-12-12,1. FSV Mainz 05,SC Freiburg,13,13,2026
2026-12-12,VfB Stuttgart,1. FC Union Berlin,13,13,2026
2026-12-19,FC Bayern München,SV Werder Bremen,14,14,2026
2026-12-19,RB Leipzig,Borussia Dortmund,14,14,2026
2026-12-19,Bayer 04 Leverkusen,Eintracht Frankfurt,14,14,2026
2026-12-19,SC Freiburg,VfB Stuttgart,14,14,2026
2026-12-19,1. FSV Mainz 05,1. FC Köln,14,14,2026
2026-12-19,1. FC Union Berlin,TSG Hoffenheim,14,14,2026
2026-12-19,FC Schalke 04,Borussia Mönchengladbach,14,14,2026
2026-12-19,SV 07 Elversberg,Hamburger SV,14,14,2026
2026-12-19,FC Augsburg,SC Paderborn 07,14,14,2026
2027-01-09,SC Paderborn 07,RB Leipzig,15,15,2026
2027-01-09,Hamburger SV,Bayer 04 Leverkusen,15,15,2026
2027-01-09,SV Werder Bremen,1. FC Union Berlin,15,15,2026
2027-01-09,1. FC Köln,SC Freiburg,15,15,2026
2027-01-09,Borussia Mönchengladbach,FC Bayern München,15,15,2026
